,order_id,order_line,order_date,customer_id,product_id,quantity,bike_id,model,description,price,bikeshop_id,bikeshop_name,location,category_1,category_2,frame_material,city,state,total_price
0,1,1,2011-01-07,2,48,1,48,Jekyll Carbon 2,Mountain - Over Mountain - Carbon,6070,2,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon,Ithaca,NY,6070
1,1,2,2011-01-07,2,52,1,52,Trigger Carbon 2,Mountain - Over Mountain - Carbon,5970,2,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon,Ithaca,NY,5970
2,2,1,2011-01-10,10,76,1,76,Beast of the East 1,Mountain - Trail - Aluminum,2770,10,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS,2770
3,2,2,2011-01-10,10,52,1,52,Trigger Carbon 2,Mountain - Over Mountain - Carbon,5970,10,Kansas City 29ers,"Kansas City, KS",Mountain,Over Mountain,Carbon,Kansas City,KS,5970
4,3,1,2011-01-10,6,2,1,2,Supersix Evo Hi-Mod Team,Road - Elite Road - Carbon,10660,6,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY,10660
5,3,2,2011-01-10,6,50,1,50,Jekyll Carbon 4,Mountain - Over Mountain - Carbon,3200,6,Louisville Race Equipment,"Louisville, KY",Mountain,Over Mountain,Carbon,Louisville,KY,3200
6,3,3,2011-01-10,6,1,1,1,Supersix Evo Black Inc.,Road - Elite Road - Carbon,12790,6,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY,12790
7,3,4,2011-01-10,6,4,1,4,Supersix Evo Hi-Mod Dura Ace 2,Road - Elite Road - Carbon,5330,6,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY,5330
8,3,5,2011-01-10,6,34,1,34,Synapse Disc 105,Road - Endurance Road - Aluminum,1570,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Aluminum,Louisville,KY,1570
9,4,1,2011-01-11,22,26,1,26,Synapse Carbon Disc Ultegra D12,Road - Endurance Road - Carbon,4800,22,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Carbon,Ann Arbor,MI,4800
10,5,1,2011-01-11,8,96,1,96,Catalyst 3,Mountain - Sport - Aluminum,480,8,Denver Bike Shop,"Denver, CO",Mountain,Sport,Aluminum,Denver,CO,480
11,5,2,2011-01-11,8,66,2,66,F-Si Black Inc.,Mountain - Cross Country Race - Carbon,11190,8,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Carbon,Denver,CO,22380
12,5,3,2011-01-11,8,35,1,35,Synapse Disc Tiagra,Road - Endurance Road - Aluminum,1250,8,Denver Bike Shop,"Denver, CO",Road,Endurance Road,Aluminum,Denver,CO,1250
13,5,4,2011-01-11,8,72,1,72,F-Si 2,Mountain - Cross Country Race - Aluminum,2060,8,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Aluminum,Denver,CO,2060
14,6,1,2011-01-11,16,45,1,45,SuperX 105,Road - Cyclocross - Carbon,1960,16,Phoenix Bi-peds,"Phoenix, AZ",Road,Cyclocross,Carbon,Phoenix,AZ,1960
15,6,2,2011-01-11,16,39,1,39,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,4500,16,Phoenix Bi-peds,"Phoenix, AZ",Road,Triathalon,Carbon,Phoenix,AZ,4500
16,6,3,2011-01-11,16,87,1,87,Habit 5,Mountain - Trail - Aluminum,2340,16,Phoenix Bi-peds,"Phoenix, AZ",Mountain,Trail,Aluminum,Phoenix,AZ,2340
17,6,4,2011-01-11,16,31,1,31,Synapse Carbon 105,Road - Endurance Road - Carbon,2240,16,Phoenix Bi-peds,"Phoenix, AZ",Road,Endurance Road,Carbon,Phoenix,AZ,2240
18,7,1,2011-01-12,9,2,1,2,Supersix Evo Hi-Mod Team,Road - Elite Road - Carbon,10660,9,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN,10660
19,7,2,2011-01-12,9,15,1,15,CAAD12 Ultegra,Road - Elite Road - Aluminum,2240,9,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Aluminum,Minneapolis,MN,2240
20,7,3,2011-01-12,9,10,1,10,Supersix Evo Tiagra,Road - Elite Road - Carbon,1840,9,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN,1840
21,7,4,2011-01-12,9,65,1,65,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,3200,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN,3200
22,7,5,2011-01-12,9,87,1,87,Habit 5,Mountain - Trail - Aluminum,2340,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Trail,Aluminum,Minneapolis,MN,2340
23,7,6,2011-01-12,9,55,1,55,Scalpel-Si Black Inc.,Mountain - Cross Country Race - Carbon,12790,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN,12790
24,7,7,2011-01-12,9,7,1,7,Supersix Evo Ultegra 3,Road - Elite Road - Carbon,3200,9,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN,3200
25,7,8,2011-01-12,9,67,1,67,F-Si Hi-Mod Team,Mountain - Cross Country Race - Carbon,9060,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN,9060
26,7,9,2011-01-12,9,61,1,61,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,3200,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN,3200
